name,alamat,kecamatan,tipe_fasilitas,no_telp,kode_pos,latitude,longitude
Andir,"Jl. Tundungsari No.1, Sumur Bandung, Garuda",Andir,Kantor Kecamatan,0226011304,40184,-6.9082894,107.5741258
Antapani,"Jl. A.H. Nasution No.14, Jatihandap",Antapani,Kantor Kecamatan,0227271129,40193,-6.9041597,107.6619101
Arcamanik,Jl. Cisaranten Kulon,Arcamanik,Kantor Kecamatan,0227801583,40294,-6.9179187,107.6825109
Astana Anyar,Jl. Bojongloa No.69,Astanaanyar,Kantor Kecamatan,0225200419,40242,-6.9319924,107.5974352
Babakan Ciparay,Jl. Babakan Ciparay No.212,Babakan Ciparay,Kantor Kecamatan,0226015723,40223,-6.9372166,107.5803827
Bandung Kidul,Jl. Batununggal No.3,Bandung Kidul,Kantor Kecamatan,0227531377,40267,-6.9588639,107.6342863
Bandung Kulon,Jl. Holis No. 210/191 A,Bandung Kulon,Kantor Kecamatan,0226015113,40212,-6.9253618,107.5719276
Bandung Wetan,Jl. Taman Sari No.49,Bandung Wetan,Kantor Kecamatan,0222507166,40132,-6.897127,107.6068837
Batununggal,Jl. Venus No.6,Batununggal,Kantor Kecamatan,0227316330,40275,-6.9386792,107.6346378
Bojongloa Kaler,"Jl. Raya Kopo No.258, Suka Asih",Bojongloa Kaler,Kantor Kecamatan,0224561230,40233,-6.9387317,107.5910882
Bojongloa Kidul,Jl. Kebon Lega Ii,Bojongloa Kidul,Kantor Kecamatan,0225206478,40235,-6.9418735,107.5956065
Buahbatu,"Jl. Ciwastra No.291, Margasari",Buahbatu,Kantor Kecamatan,0227509945,40287,-6.9608532,107.6634815
Cibeunying Kaler,Jl. Raya Cigadung Selatan No. 100 C,Cibeunying Kaler,Kantor Kecamatan,0222500961,40191,-6.8858774,107.6237928
Cibeunying Kidul,Jl. Sukasenang Raya No.11,Cibeunying Kidul,Kantor Kecamatan,0227271665,40124,-6.8999453,107.6346444
Cibiru,Jl. Manisi No.13,Cibiru,Kantor Kecamatan,02263722888,40614,-6.9291377,107.7173574
Cicendo,Jl. Purabaya No.2,Cicendo,Kantor Kecamatan,0226015411,40172,-6.9071803,107.5905939
Cidadap,Jl. Hegarmanah Tengah No.1,Cidadap,Kantor Kecamatan,0222033396,40141,-6.8737777,107.5970701
Cinambo,Jl. Cinambo No.56,Cinambo,Kantor Kecamatan,0227815274,40612,-6.9242158,107.6906575
Coblong,Jl. Sangkuriang No.10A,Coblong,Kantor Kecamatan,0222504467,40135,-6.8833267,107.606488
Gedebage,Jl. Gedebage Selatan No.292,Gedebage,Kantor Kecamatan,,40295,-6.9625775,107.6848536
Kiaracondong,Jl. Lap. Radar Jl. Babakan Sari Iii,Kiaracondong,Kantor Kecamatan,0227271101,40283,-6.9229481,107.6465609
Lengkong,"Jl. Talaga Bodas No.35, Malabar",Lengkong,Kantor Kecamatan,0227310219,40262,-6.9283124,107.6201764
Mandalajati,"Jl. Pasir Impun No.33, Karang Pamulang",Mandalajati,Kantor Kecamatan,02263730954,40194,-6.895212,107.6745023
Panyileukan,Jl. Soekarno Hatta Km.12,Panyileukan,Kantor Kecamatan,0227812727,40614,-6.9359583,107.6971058
Rancasari,Jl.  Santosa Asih No.17,Rancasari,Kantor Kecamatan,,40292,-6.9480711,107.6723589
Regol,Jl. Denki No.54,Regol,Kantor Kecamatan,0225202489,40117,-6.9460185,107.6091894
Sukajadi,Jl. Sukamulya No.4,Sukajadi,Kantor Kecamatan,0222015736,40163,-6.8925523,107.585605
Sukasari,Jl. Gegerkalong Hilir,Sukasari,Kantor Kecamatan,0222012906,40153,-6.8682418,107.5798276
Sumur Bandung,Jl. Lombok No.6,Sumur Bandung,Kantor Kecamatan,0224205668,40113,-6.9133002,107.615402
Ujung Berung,Jl. Alun - Alun Utara No. 211,Ujung Berung,Kantor Kecamatan,0227800003,40616,-6.9130145,107.6988488
