name,alamat,kecamatan,tipe_fasilitas,no_telp,latitude,longitude
Garuda,Jl. Dadali No. 81,Andir,Puskesmas,0226013885,-6.9113,107.5774
Jajaway,Jl. Pratista Timur 13  No.43,Antapani,Puskesmas,08174116234,-6.9277,107.6645
Arcamanik,Jl. Olahraga No.7,Arcamanik,Puskesmas,0227949217,-6.9146,107.6786
Pagarsih,Jl. Pagarsih No.95,Astanaanyar,Puskesmas,02220567702,-6.9227,107.5931
Sukahaji,Gg. H. Zakaria Rt 08 Rw 01 ,Babakan Ciparay,Puskesmas,0226008251,-6.9333,107.5825
Kujangsari,Jl. Terusan Buah Batu No. 314,Bandung Kidul,Puskesmas,0227530456,-6.9649,107.6379
Cibuntu,Jl. Syahbandar No.1,Bandung Kulon,Puskesmas,0226008944,-6.9253,107.5748
Salam,Jl. Salam No. 27 ,Bandung Wetan,Puskesmas,0227234610,-6.9098996,107.6274169
Gumuruh,Jl. Rancagoong No. 11,Batununggal,Puskesmas,0227330610,-6.9322834,107.6332963
Babakan Tarogong,Jl. Babakan Tarogong No.46,Bojongloa Kaler,Puskesmas,02220587076,-6.9353117,107.5912454
Kopo,Jl. Raya Kopo No.367,Bojongloa Kidul,Puskesmas,02285876193,-6.9465222,107.5868655
Margahayu Raya,Jl. Pluto Raya No.54,Buahbatu,Puskesmas,089601116175,-6.9556611,107.6600008
Neglasari,Jl. Cikutra No.276 C,Cibeunying Kaler,Puskesmas,02220524024,-6.8924075,107.6382464
Padasuka,Jl. Padasuka No.3,Cibeunying Kidul,Puskesmas,0227272113,-6.8882477,107.5493169
Cilengkrang,Jl. Cilengkrang 1 No.42A,Cibiru,Puskesmas,02263721437,-6.9169036,107.7116282
Pasirkaliki,Jl. Pasir Kaliki No.188,Cicendo,Puskesmas,082130520103,-6.8945421,107.5735428
Ciumbuleuit,Jl. Bukit Resik No.1,Cidadap,Puskesmas,02264401158,-6.8780175,107.6004239
Dago,Jl. Ir. H. Juanda No.360,Coblong,Puskesmas,0222533539,-6.8760293,107.6159935
Cempaka Arum,"Komplek Cempaka Arum, Jl.Griya Cempaka Arum",Gedebage,Puskesmas,02263726389,-6.9581885,107.5493169
Babakan Sari,Jl.Babakan Sari No.183,Kiaracondong,Puskesmas,0227270793,-6.9242071,107.6520928
Suryalaya,Jl. Suryalaya Vii No.1,Lengkong,Puskesmas,0227314952,-6.9451645,107.6196751
Girimande,Jl. Cikadut,Mandalajati,Puskesmas,0227212600,-6.897638,107.6665522
Panghegar,Jl. Teratai Mekar No.2,Panyileukan,Puskesmas,0227236749,-6.9271588,107.6966985
Derwati,Jl. Babakan Karet Rancacili,Rancasari,Puskesmas,0227248129,-6.9619168,107.6782184
Pasirluyu,Jl. Suka Ati Raya No.1,Regol,Puskesmas,0227458122,-6.9512026,107.6180924
Sukagalih,Jl. Mulyasari No.12,Sukajadi,Puskesmas,087728737925,-6.8903832,107.5850136
Ledeng,Jl. Sersan Bajuri Dalam No.2,Sukasari,Puskesmas,02282003544,-6.8581699,107.592056
Balai Kota,Jl. Wastukancana No.02,Sumur Bandung,Puskesmas,087741275148,-6.9122691,107.6076886
Ujungberung Indah,Jl. Ujungberung Indah Ceria,Ujung Berung,Puskesmas,0811224220,-6.9114,107.699
